subj	trial	chimera	identity	orientation	rt	acc	group
1	1	L_R	other	upright	754.6	0	cp
1	2	L_L	other	upright	1036.1	1	cp
1	3	R_R	self	upright	433	1	cp
1	4	L_R	self	upright	463.4	1	cp
1	5	L_L	self	upright	483.3	1	cp
1	6	L_L	other	upright	392.9	0	cp
1	7	R_L	self	upright	252.2	0	cp
1	8	L_L	self	upright	523.6	1	cp
1	9	L_R	other	upright	463.3	0	cp
1	10	R_R	self	upright	503.3	1	cp
1	11	L_L	other	upright	784.6	1	cp
1	12	R_L	other	upright	845.5	1	cp
1	13	L_R	other	upright	784.7	1	cp
1	14	R_R	self	upright	634	1	cp
1	15	R_L	self	upright	493.5	1	cp
1	16	L_L	self	upright	754.7	1	cp
1	17	R_R	self	upright	573.7	1	cp
1	18	L_R	other	upright	744.6	1	cp
1	19	R_L	self	upright	593.9	1	cp
1	20	L_L	self	upright	583.6	1	cp
1	21	L_R	other	upright	412.8	0	cp
1	22	R_L	other	upright	674.4	1	cp
1	23	R_R	other	upright	634.3	1	cp
1	24	R_L	other	upright	573.7	1	cp
1	25	L_L	self	upright	362.7	0	cp
1	26	L_R	other	upright	975.6	1	cp
1	27	R_R	self	upright	563.7	1	cp
1	28	R_R	other	upright	563.5	1	cp
1	29	L_R	self	upright	483.6	1	cp
1	30	L_L	other	upright	734.5	1	cp
1	31	L_R	other	upright	844.9	1	cp
1	32	L_R	self	upright	714.3	1	cp
1	33	L_R	self	upright	553.5	1	cp
1	34	L_R	other	upright	1136.5	1	cp
1	35	R_R	other	upright	764.7	1	cp
1	36	L_R	self	upright	513.6	1	cp
1	37	R_R	self	upright	654.2	1	cp
1	38	L_R	self	upright	1216.7	1	cp
1	39	R_L	self	upright	634	1	cp
1	40	L_L	self	upright	614	1	cp
1	41	R_L	other	upright	573.7	1	cp
1	42	R_R	self	upright	674.3	1	cp
1	43	L_R	other	upright	834.9	1	cp
1	44	R_L	other	upright	895.1	1	cp
1	45	R_R	self	upright	503.4	1	cp
1	46	R_R	other	upright	593.9	1	cp
1	47	R_L	other	upright	1035.8	1	cp
1	48	R_L	self	upright	644	1	cp
1	49	R_L	other	upright	252.1	0	cp
1	50	L_L	other	upright	734.4	1	cp
1	51	R_R	other	upright	724.4	1	cp
1	52	R_L	self	upright	372.7	1	cp
1	53	R_R	other	upright	423	0	cp
1	54	R_L	other	upright	1035.8	1	cp
1	55	L_R	other	upright	875.1	1	cp
1	56	L_L	self	upright	704.3	1	cp
1	57	R_R	self	upright	754.5	1	cp
1	58	R_L	self	upright	1116.6	1	cp
1	59	L_L	other	upright	674.1	1	cp
1	60	L_L	other	upright	995.7	1	cp
1	61	R_R	self	upright	603.8	1	cp
1	62	R_R	other	upright	834.9	1	cp
1	63	L_L	other	upright	774.7	1	cp
1	64	L_L	self	upright	1126.3	1	cp
1	65	R_L	other	upright	674.1	1	cp
1	66	R_L	self	upright	975.9	1	cp
1	67	L_R	self	upright	543.5	1	cp
1	68	L_R	self	upright	513.5	1	cp
1	69	L_L	other	upright	824.9	1	cp
1	70	L_L	self	upright	573.9	1	cp
1	71	R_R	other	upright	774.7	1	cp
1	72	L_R	self	upright	503.3	1	cp
1	73	R_L	self	upright	392.9	1	cp
1	74	R_L	self	upright	453	1	cp
1	75	L_L	other	upright	543.6	0	cp
1	76	L_R	self	upright	654.1	0	cp
1	77	R_R	other	upright	432.9	0	cp
1	78	R_R	other	upright	684.2	1	cp
1	79	L_L	self	upright	563.7	1	cp
1	80	L_R	self	inverted	614.3	1	cp
1	81	R_L	other	inverted	1106.2	1	cp
1	82	R_L	self	inverted	644	1	cp
1	83	R_L	self	inverted	483.2	1	cp
1	84	R_L	self	inverted	322.5	1	cp
1	85	R_L	self	inverted	423.1	1	cp
1	86	L_L	self	inverted	433	1	cp
1	87	L_R	self	inverted	362.6	1	cp
1	88	R_R	other	inverted	242.1	0	cp
1	89	L_L	other	inverted	623.8	1	cp
1	90	R_R	other	inverted	473.2	1	cp
1	91	L_L	self	inverted	453.1	0	cp
1	92	L_L	self	inverted	584.1	1	cp
1	93	L_R	self	inverted	694.5	1	cp
1	94	L_L	other	inverted	1468	1	cp
1	95	R_R	self	inverted	382.8	1	cp
1	96	R_L	self	inverted	573.7	1	cp
1	97	L_R	other	inverted	955.5	1	cp
1	98	R_R	other	inverted	513.3	0	cp
1	99	R_L	other	inverted	563.6	0	cp
1	100	R_R	other	inverted	754.8	1	cp
1	101	R_R	other	inverted	875.2	1	cp
